date,ticker,price
2024-01-01,AAPL,149.98546441269764
2024-01-02,AAPL,149.62461495424444
2024-01-03,AAPL,150.27006281133438
2024-01-04,AAPL,149.55936419815754
2024-01-05,AAPL,149.95150079878707
2024-01-06,AAPL,149.7494755246167
2024-01-07,AAPL,148.6236599487092
2024-01-08,AAPL,147.52985774829514
2024-01-09,AAPL,147.40995934454864
2024-01-10,AAPL,146.30832701128008
2024-01-11,AAPL,144.3061811042831
2024-01-12,AAPL,144.02659627883776
2024-01-13,AAPL,144.43110047785376
2024-01-14,AAPL,144.78550416373142
2024-01-15,AAPL,146.68967940948684
2024-01-16,AAPL,146.81179673228303
2024-01-17,AAPL,144.74751779898682
2024-01-18,AAPL,145.254425972756
2024-01-19,AAPL,145.29446907892196
2024-01-20,AAPL,145.2847486167514
